searchstring	count	is_fixed	fixed	productcount	predicted_productcount
kaspersky internet security	2	False	kaspersky internet security	5	5
швейная машина janome	17	False	швейная машина janome	12	12
комплектующие для газовых плит	1	False	комплектующие для газовых плит	14	14
panasonic sc-max9000	1	False	panasonic sc-max9000	1	1
HDD250 ноутбук	1	False	HDD250 ноутбук	14	14
Сковорода чугунная	1	False	Сковорода чугунная	14	14
Asus смартфон	2	False	Asus смартфон	6	6
чехол айфона ce	1	False	чехол айфона ce	14	14
NV70K3370BB/WT	1	False	NV70K3370BB/WT	11	11
Духовой шкаф~/page/6/	1	False	Духовой шкаф~/page/6/	14	14
вентилятор напольный	1	False	вентилятор напольный	0	0
hd dvb-t t2 цифровой тв ресивер	1	False	hd dvb-t t2 цифровой тв ресивер	8	8
радио-часы	2	False	радио-часы	14	14
Установка антены телекарты в пригороде	1	False	Установка антены телекарты в пригороде	14	14
дрель аккумуляторная вихрь да-12-2к	1	False	дрель аккумуляторная вихрь да-12-2к	5	5
стиральная машина Hansa WHC 1238	1	False	стиральная машина Hansa WHC 1238	14	14
LERAN RH 6412 BG	1	False	LERAN RH 6412 BG	2	2
Чехол zte	1	False	Чехол zte	13	13
asus m5a78l-m le/usb3	1	False	asus m5a78l-m le/usb3	7	7
amcv le -43ztf17	1	False	amcv le -43ztf17	3	3
led телевизор samsung ue32n5300au	2	False	led телевизор samsung ue32n5300au	14	14
хуавэй p 20	6	False	хуавэй p 20	31	31
чернила для картриджа	1	False	чернила для картриджа	14	14
samsung galaxy j1 2018	1	False	samsung galaxy j1 2018	8	8
свет для визажистов	1	False	свет для визажистов	14	14
Смартфон Samsung Galaxy A7 64Gb Pink	1	False	Смартфон Samsung Galaxy A7 64Gb Pink	14	14
нэтбук	1	False	нэтбук	14	14
